OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.541,-95.247
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.988,-90.504
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.943,-112.717
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273",Mount Jackson,VA,60,2.899,38.745,-78.637
44,CIRCLE K #2612042,"I-35, EXIT 271",Jarrell,TX,595,2.919,30.824,-97.603
46,PETRO STOPPING CENTER #348,"I-85, EXIT 22",Shorter,AL,720,3.154,32.403,-85.905
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.258,-95.858
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.478,-107.876
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.334,-109.050
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.755,-111.584
151,CUBBYS #2101,"I-80, EXIT 211",Gothenburg,NE,475,3.13233333,40.925,-100.164
174,Hop-In Food Stores,"US-59 & SR-224",Nacogdoches,TX,618,2.859,31.603,-94.655
191,KUM & GO #0302,"I-35, EXIT 193",Clear Lake,IA,433,3.18566666,43.138,-93.378
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.865,-97.611
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62",Mount Vernon,KY,410,2.999,37.353,-84.342
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153",Port Allen,LA,600,3.039,30.451,-91.211
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92",Duson,LA,725,2.98233333,30.245,-92.188
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,38.976,-95.234
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.123,-94.741
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.127,-101.719
